ArrayExpress.Accession	PubMed.ID	ForeName LastName	order
E-GEOD-51008	25043028	Mattia Pelizzola	3
E-GEOD-51008	25043028	Stefano de Pretis	4
E-GEOD-51008	25043028	Marcin M Gorski	5
E-GEOD-51008	25043028	Alessandra Tesi	6
E-GEOD-51008	25043028	Marco J Morelli	7
E-GEOD-51008	25043028	Pranami Bora	8
E-GEOD-51008	25043028	Mirko Doni	9
E-GEOD-51008	25043028	Alessandro Verrecchia	10
E-GEOD-51008	25043028	Claudia Tonelli	11
E-GEOD-51008	25043028	Giovanni Fagà	12
E-GEOD-51008	25043028	Valerio Bianchi	13
E-GEOD-51008	25043028	Alberto Ronchi	14
E-GEOD-51008	25043028	Diana Low	15
E-GEOD-51008	25043028	Heiko Müller	16
E-GEOD-51008	25043028	Ernesto Guccione	17
E-GEOD-51008	25043028	Stefano Campaner	18
E-GEOD-51008	25043028	Bruno Amati	19
E-GEOD-54154	25008173	Marpadga A Reddy	1
E-GEOD-54154	25008173	Zhuo Chen	2
E-GEOD-54154	25008173	Jung Tak Park	3
E-GEOD-54154	25008173	Mei Wang	4
E-GEOD-54154	25008173	Linda Lanting	5
E-GEOD-54154	25008173	Qiang Zhang	6
E-GEOD-54154	25008173	Kirti Bhatt	7
E-GEOD-54154	25008173	Amy Leung	8
E-GEOD-54154	25008173	Xiwei Wu	9
E-GEOD-54154	25008173	Sumanth Putta	10
E-GEOD-54154	25008173	Pål Sætrom	11
E-GEOD-54154	25008173	Sridevi Devaraj	12
E-GEOD-54154	25008173	Rama Natarajan	13
E-GEOD-54631	24991935	Yongsheng Bai	1
E-GEOD-54631	24991935	Justin Hassler	2
E-GEOD-54631	24991935	Ahdad Ziyar	3
E-GEOD-54631	24991935	Philip Li	4
E-GEOD-54631	24991935	Zachary Wright	5
E-GEOD-54631	24991935	Rajasree Menon	6
E-GEOD-54631	24991935	Gilbert S Omenn	7
E-GEOD-54631	24991935	James D Cavalcoli	8
E-GEOD-54631	24991935	Randal J Kaufman	9
E-GEOD-54631	24991935	Maureen A Sartor	10
E-GEOD-55376	24812086	Thomas R Sundermeier	1
E-GEOD-55376	24812086	Ning Zhang	2
E-GEOD-55376	24812086	Frans Vinberg	3
E-GEOD-55376	24812086	Debarshi Mustafi	4
E-GEOD-55376	24812086	Hideo Kohno	5
E-GEOD-55376	24812086	Marcin Golczak	6
E-GEOD-55376	24812086	Xiaodong Bai	7
E-GEOD-55376	24812086	Akiko Maeda	8
E-GEOD-55376	24812086	Vladimir J Kefalov	9
E-GEOD-55376	24812086	Krzysztof Palczewski	10
E-GEOD-55377	24812086	Thomas R Sundermeier	1
E-GEOD-55377	24812086	Ning Zhang	2
E-GEOD-55377	24812086	Frans Vinberg	3
E-GEOD-55377	24812086	Debarshi Mustafi	4
E-GEOD-55377	24812086	Hideo Kohno	5
E-GEOD-55377	24812086	Marcin Golczak	6
E-GEOD-55377	24812086	Xiaodong Bai	7
E-GEOD-55377	24812086	Akiko Maeda	8
E-GEOD-55377	24812086	Vladimir J Kefalov	9
E-GEOD-55377	24812086	Krzysztof Palczewski	10
E-GEOD-56018	24745332	Sheng Xiao	1
E-GEOD-56018	24745332	Nir Yosef	2
E-GEOD-56018	24745332	Jianfei Yang	3
E-GEOD-56018	24745332	Yonghui Wang	4
E-GEOD-56018	24745332	Ling Zhou	5
E-GEOD-56018	24745332	Chen Zhu	6
E-GEOD-56018	24745332	Chuan Wu	7
E-GEOD-56018	24745332	Erkan Baloglu	8
E-GEOD-56018	24745332	Darby Schmidt	9
E-GEOD-56018	24745332	Radha Ramesh	10
E-GEOD-56018	24745332	Mercedes Lobera	11
E-GEOD-56018	24745332	Mark S Sundrud	12
E-GEOD-56018	24745332	Pei-Yun Tsai	13
E-GEOD-56018	24745332	Zhijun Xiang	14
E-GEOD-56018	24745332	Jinsong Wang	15
E-GEOD-56018	24745332	Yan Xu	16
E-GEOD-56018	24745332	Xichen Lin	17
E-GEOD-56018	24745332	Karsten Kretschmer	18
E-GEOD-56018	24745332	Peter B Rahl	19
E-GEOD-56018	24745332	Richard A Young	20
E-GEOD-56018	24745332	Zhong Zhong	21
E-GEOD-56018	24745332	David A Hafler	22
E-GEOD-56018	24745332	Aviv Regev	23
E-GEOD-56018	24745332	Shomir Ghosh	24
E-GEOD-56018	24745332	Alexander Marson	25
E-GEOD-56018	24745332	Vijay K Kuchroo	26
E-GEOD-56127	25061210	Ryuta Ishimura	1
E-GEOD-56127	25061210	Gabor Nagy	2
E-GEOD-56127	25061210	Ivan Dotu	3
E-GEOD-56127	25061210	Huihao Zhou	4
E-GEOD-56127	25061210	Xiang-Lei Yang	5
E-GEOD-56127	25061210	Paul Schimmel	6
